Site,Longitude,Latitude,Total Data Traffic(DL+UL): MB, DL PDCP Throughput (Mbps),Area Code,Area LTE Traffic  %,Area  DL PDCP Throughput (Mbps),Category,Site Name,REGION,UNION,THANA,Area Name
CGKTL07,91.83745845,22.34036768,12465.6,7.4,CGKTL,3.49,6.82,High LTE traffic.10 Mbps<=Throughput<= 5Mbps,Laldighi,CHITTAGONG METRO,WARD NO-32,KOTWALI,KOTWALI
CGKTL09,91.83189878,22.36092325,11651.6,7.5,CGKTL,3.49,6.82,High LTE traffic.10 Mbps<=Throughput<= 5Mbps,CMCH,CHITTAGONG METRO,WARD NO-16,KOTWALI,KOTWALI
CGKTL11,91.83111783,22.33573335,11708.9,6.3,CGKTL,3.49,6.82,High LTE traffic.10 Mbps<=Throughput<= 5Mbps,RiazuddinBazar,CHITTAGONG METRO,WARD NO-31,KOTWALI,KOTWALI
CGKTL12,91.83081224,22.34445715,16386.3,7.9,CGKTL,3.49,6.82,High LTE traffic.10 Mbps<=Throughput<= 5Mbps,Jamal_Khan,CHITTAGONG METRO,WARD NO-21,KOTWALI,KOTWALI
CGKTL13,91.82445609,22.32658895,11608.2,6.0,CGKTL,3.49,6.82,High LTE traffic.10 Mbps<=Throughput<= 5Mbps,Majhirghat,CHITTAGONG METRO,WARD NO-30 (PART),KOTWALI,KOTWALI
CGKTL14,91.83644403,22.33783386,9174.3,6.5,CGKTL,3.49,6.82,High LTE traffic.10 Mbps<=Throughput<= 5Mbps,Mark Fashion_Micro,CHITTAGONG METRO,WARD NO-32,KOTWALI,KOTWALI
CGKTL15,91.833957,22.3328993,17873.4,6.0,CGKTL,3.49,6.82,High LTE traffic.10 Mbps<=Throughput<= 5Mbps,Chittagong GPO,CHITTAGONG METRO,WARD NO-31,KOTWALI,KOTWALI
CGKTL16,91.84034815,22.33375804,13181.9,6.3,CGKTL,3.49,6.82,High LTE traffic.10 Mbps<=Throughput<= 5Mbps,Patharghata,CHITTAGONG METRO,WARD NO-34,KOTWALI,KOTWALI
CGKTL17,91.82551053,22.33681829,14793.6,6.5,CGKTL,3.49,6.82,High LTE traffic.10 Mbps<=Throughput<= 5Mbps,Station_Road__Ctg,CHITTAGONG METRO,WARD NO-31,KOTWALI,KOTWALI
CGKTL18,91.82630559,22.34772254,10106.7,6.6,CGKTL,3.49,6.82,High LTE traffic.10 Mbps<=Throughput<= 5Mbps,Kazir_Dewri,CHITTAGONG METRO,WARD NO-21,KOTWALI,KOTWALI
CGKTL19,91.84012565,22.3618946,12716.8,6.2,CGKTL,3.49,6.82,High LTE traffic.10 Mbps<=Throughput<= 5Mbps,Munshi_pukurpar,CHITTAGONG METRO,WARD NO-16,KOTWALI,KOTWALI
CGKTL21,91.84536715,22.3361966,7623.3,6.6,CGKTL,3.49,6.82,High LTE traffic.10 Mbps<=Throughput<= 5Mbps,Kabir_Market,CHITTAGONG METRO,WARD NO-35 (PART),KOTWALI,KOTWALI
CGKTL24,91.834527,22.3433,14484.7,7.7,CGKTL,3.49,6.82,High LTE traffic.10 Mbps<=Throughput<= 5Mbps,Momin_Road,CHITTAGONG METRO,WARD NO-32,KOTWALI,KOTWALI
CGKTL25,91.824428,22.32994906,15677.5,6.8,CGKTL,3.49,6.82,High LTE traffic.10 Mbps<=Throughput<= 5Mbps,East_Madarbari,CHITTAGONG METRO,WARD NO-30 (PART),KOTWALI,KOTWALI
CGKTL26,91.84509453,22.33156066,13655.0,6.6,CGKTL,3.49,6.82,High LTE traffic.10 Mbps<=Throughput<= 5Mbps,Ashraf_Ali_Road,CHITTAGONG METRO,WARD NO-34,KOTWALI,KOTWALI
CGKTL27,91.83703965,22.33700437,12022.9,6.1,CGKTL,3.49,6.82,High LTE traffic.10 Mbps<=Throughput<= 5Mbps,Loyal_Road,CHITTAGONG METRO,WARD NO-32,KOTWALI,KOTWALI
CGKTL28,91.82977737,22.32822275,7765.5,6.4,CGKTL,3.49,6.82,High LTE traffic.10 Mbps<=Throughput<= 5Mbps,Darogarhat,CHITTAGONG METRO,NA,KOTWALI,0
CGKTL29,91.82442945,22.35531398,15211.7,7.4,CGKTL,3.49,6.82,High LTE traffic.10 Mbps<=Throughput<= 5Mbps,North_Mehedibagh,CHITTAGONG METRO,WARD NO-15 (PART),KOTWALI,KOTWALI
